year,series,series_type,value
2010,Predicted Total,total,1.9170658565883931
2010,Actual Total,total,2.082996758079929
2011,Cancer,contribution,0.14467521883825304
2011,Homicide,contribution,0.13971861951483794
2011,Suicide,contribution,0.43273821621490005
2011,Injury,contribution,0.05053159488088876
2011,Road Traffic,contribution,0.6434646600242541
2011,Liver Disease,contribution,0.1739827696101915
2011,Alcohol,contribution,0.0740129488914991
2011,COVID-19,contribution,0.0
2011,Childhood (under-five),contribution,0.007613489131314176
2011,Drug Disorders,contribution,0.13400868273817151
2011,Predicted Total,total,1.8945592007738519
2011,Actual Total,total,2.031819171889822
2012,Cancer,contribution,0.14869646860373972
2012,Homicide,contribution,0.14362953358647826
2012,Suicide,contribution,0.43616763589328456
2012,Injury,contribution,0.050308291953617065
2012,Road Traffic,contribution,0.6462296698780066
2012,Liver Disease,contribution,0.17899162195182833
2012,Alcohol,contribution,0.07609013237314262
2012,COVID-19,contribution,0.0
2012,Childhood (under-five),contribution,0.007690253477827855
2012,Drug Disorders,contribution,0.1405096895911404
2012,Predicted Total,total,1.884009752475872
2012,Actual Total,total,2.0163767227509624
2013,Cancer,contribution,0.1553745594961067
2013,Homicide,contribution,0.1344415565859413
2013,Suicide,contribution,0.43642578974733365
2013,Injury,contribution,0.05025726379720621
2013,Road Traffic,contribution,0.6385642339492269
2013,Liver Disease,contribution,0.18177874820723205
2013,Alcohol,contribution,0.07965558507299622
2013,COVID-19,contribution,0.0
2013,Childhood (under-five),contribution,0.007819729862914156
2013,Drug Disorders,contribution,0.15204438943336782
2013,Predicted Total,total,1.8528828744769719
2013,Actual Total,total,2.0005470281848545
2014,Cancer,contribution,0.15843793909493753
2014,Homicide,contribution,0.13502124479065766
2014,Suicide,contribution,0.4413370455272444
2014,Injury,contribution,0.05233047931164194
2014,Road Traffic,contribution,0.6477240351212088
2014,Liver Disease,contribution,0.1791410794957881
2014,Alcohol,contribution,0.08281642530561183
2014,COVID-19,contribution,0.0
2014,Childhood (under-five),contribution,0.0075808449259046
2014,Drug Disorders,contribution,0.16770657181598747
2014,Predicted Total,total,1.8422805417018484
2014,Actual Total,total,1.9797410141299707
2015,Cancer,contribution,0.15288603635829465
2015,Homicide,contribution,0.1528867236196091
2015,Suicide,contribution,0.4547857093140744
2015,Injury,contribution,0.054640441883439035
2015,Road Traffic,contribution,0.6986614349317963
2015,Liver Disease,contribution,0.17699721337450872
2015,Alcohol,contribution,0.08862118506236905
2015,COVID-19,contribution,0.0
2015,Childhood (under-five),contribution,0.0074072714421061754
2015,Drug Disorders,contribution,0.19636458167632645
2015,Predicted Total,total,1.9142156042437433
2015,Actual Total,total,2.0009283920545613
2016,Cancer,contribution,0.1513713996254436
2016,Homicide,contribution,0.16701365041622074
2016,Suicide,contribution,0.48483467820571924
2016,Injury,contribution,0.05973247438509117
2016,Road Traffic,contribution,0.7498458285914678
2016,Liver Disease,contribution,0.17187964192151942
2016,Alcohol,contribution,0.09720253935551622
2016,COVID-19,contribution,0.0
2016,Childhood (under-five),contribution,0.007487375617275914
2016,Drug Disorders,contribution,0.23681138219072181
2016,Predicted Total,total,2.0130756810823023
2016,Actual Total,total,2.068210800739749
2017,Cancer,contribution,0.14989417920123535
2017,Homicide,contribution,0.1674690064735308
2017,Suicide,contribution,0.5094388728018803
2017,Injury,contribution,0.060790233252764184
2017,Road Traffic,contribution,0.747516838820716
2017,Liver Disease,contribution,0.1659778658402139
2017,Alcohol,contribution,0.10163917907960042
2017,COVID-19,contribution,0.0
2017,Childhood (under-five),contribution,0.007709336362774819
2017,Drug Disorders,contribution,0.2659648484611355
2017,Predicted Total,total,1.9944283265482095
2017,Actual Total,total,2.057516434309136
2018,Cancer,contribution,0.15129266156664092
2018,Homicide,contribution,0.15658532331884464
2018,Suicide,contribution,0.5062952454830715
2018,Injury,contribution,0.06049970420138537
2018,Road Traffic,contribution,0.7075331214449497
2018,Liver Disease,contribution,0.163584622575146
2018,Alcohol,contribution,0.10306432918213057
2018,COVID-19,contribution,0.0
2018,Childhood (under-five),contribution,0.007808295074076113
2018,Drug Disorders,contribution,0.28263631146256885
2018,Predicted Total,total,1.9027176607242295
2018,Actual Total,total,2.011635403441886
2019,Cancer,contribution,0.15990555975208084
2019,Homicide,contribution,0.16619006040109768
2019,Suicide,contribution,0.503775392154326
2019,Injury,contribution,0.06709792956268261
2019,Road Traffic,contribution,0.7240284431540205
2019,Liver Disease,contribution,0.16366627909934398
2019,Alcohol,contribution,0.11151563267487805
2019,COVID-19,contribution,0.0
2019,Childhood (under-five),contribution,0.007283711198825529
2019,Drug Disorders,contribution,0.31687171867423886
2019,Predicted Total,total,1.9657304085241145
2019,Actual Total,total,2.0114423917747217
2020,Cancer,contribution,0.15978355160181718
2020,Homicide,contribution,0.21216529091705583
2020,Suicide,contribution,0.5386632433112775
2020,Injury,contribution,0.0725951678874162
2020,Road Traffic,contribution,0.8422172317402403
2020,Liver Disease,contribution,0.17037111187560142
2020,Alcohol,contribution,0.13861463709252753
2020,COVID-19,contribution,0.11631330164267573
2020,Childhood (under-five),contribution,0.0065594219135081296
2020,Drug Disorders,contribution,0.3856808078486834
2020,Predicted Total,total,2.3850965147705465
2020,Actual Total,total,2.3230014533853165
2021,Cancer,contribution,0.16100033845692258
2021,Homicide,contribution,0.22624604887233796
2021,Suicide,contribution,0.5539432606177485
2021,Injury,contribution,0.07912377163449309
2021,Road Traffic,contribution,0.9009072626955226
2021,Liver Disease,contribution,0.17461225334686623
2021,Alcohol,contribution,0.15336795189737032
2021,COVID-19,contribution,0.2277494622855114
2021,Childhood (under-five),contribution,0.005510495943137696
2021,Drug Disorders,contribution,0.44577525512877836
2021,Predicted Total,total,2.6024463462342036
2021,Actual Total,total,2.478452511658773
2022,Cancer,contribution,0.15265530573282604
2022,Homicide,contribution,0.21475609830436457
2022,Suicide,contribution,0.5530746340662953
2022,Injury,contribution,0.07412276932393769
2022,Road Traffic,contribution,0.8946594624387515
2022,Liver Disease,contribution,0.16734310382987239
2022,Alcohol,contribution,0.15338432540196964
2022,COVID-19,contribution,0.08320496160728949
2022,Childhood (under-five),contribution,0.006802399024750705
2022,Drug Disorders,contribution,0.4727416709013827
2022,Predicted Total,total,2.3907735734639406
2022,Actual Total,total,2.20462098101612
2023,Cancer,contribution,0.14623856818010703
2023,Homicide,contribution,0.20172045122267743
2023,Suicide,contribution,0.5214293311612538
2023,Injury,contribution,0.0753574346219984
2023,Road Traffic,contribution,0.8643519147132457
2023,Liver Disease,contribution,0.16375599843160638
2023,Alcohol,contribution,0.1499143414157404
2023,COVID-19,contribution,0.007267314138610267
2023,Childhood (under-five),contribution,0.006823381019378293
2023,Drug Disorders,contribution,0.46714544253709955
2023,Predicted Total,total,2.168288541400713
2023,Actual Total,total,2.008855069354972
