year,series,series_type,value
2010,Predicted Total,total,4.737261947579924
2010,Actual Total,total,4.821899999999999
2011,Cancer,contribution,0.1944969278306811
2011,Homicide,contribution,0.19146123112259125
2011,Suicide,contribution,0.431618295495672
2011,Road Traffic,contribution,0.5999300538746388
2011,Liver Disease,contribution,0.23115221438617925
2011,Injury,contribution,0.039474625783250596
2011,COVID-19,contribution,0.0
2011,Childhood (under-five),contribution,0.08810721103952227
2011,Alcohol,contribution,0.07377699245708005
2011,Drug Disorders,contribution,0.22158409255956474
2011,Predicted Total,total,4.72328705075841
2011,Actual Total,total,4.744399999999999
2012,Cancer,contribution,0.19990297270628224
2012,Homicide,contribution,0.19682049122386497
2012,Suicide,contribution,0.4350388398817693
2012,Road Traffic,contribution,0.6025079926700082
2012,Liver Disease,contribution,0.23780693837348457
2012,Injury,contribution,0.03930018443598791
2012,COVID-19,contribution,0.0
2012,Childhood (under-five),contribution,0.0889955675291603
2012,Alcohol,contribution,0.07584755378928482
2012,Drug Disorders,contribution,0.23233354307877582
2012,Predicted Total,total,4.733490066239432
2012,Actual Total,total,4.736200000000011
2013,Cancer,contribution,0.2088807933224831
2013,Homicide,contribution,0.18422989024199632
2013,Suicide,contribution,0.4352963256370948
2013,Road Traffic,contribution,0.5953611737762528
2013,Liver Disease,contribution,0.24150989359803857
2013,Injury,contribution,0.03926032190278515
2013,COVID-19,contribution,0.0
2013,Childhood (under-five),contribution,0.09049393483338529
2013,Alcohol,contribution,0.07940163967402364
2013,Drug Disorders,contribution,0.25140623258860917
2013,Predicted Total,total,4.7241790950013565
2013,Actual Total,total,4.747599999999991
2014,Cancer,contribution,0.21299910691852397
2014,Homicide,contribution,0.18502425693218863
2014,Suicide,contribution,0.4401948711526951
2014,Road Traffic,contribution,0.6039012542996818
2014,Liver Disease,contribution,0.23800550655538227
2014,Injury,contribution,0.040879890942576776
2014,COVID-19,contribution,0.0
2014,Childhood (under-five),contribution,0.08772943550906157
2014,Alcohol,contribution,0.08255240301330878
2014,Drug Disorders,contribution,0.27730373713714573
2014,Predicted Total,total,4.735373281824303
2014,Actual Total,total,4.769300000000001
2015,Cancer,contribution,0.2055352991250204
2015,Homicide,contribution,0.20950593720546365
2015,Suicide,contribution,0.4536087299774107
2015,Road Traffic,contribution,0.6513924048027223
2015,Liver Disease,contribution,0.23515718196328883
2015,Injury,contribution,0.0426844037094891
2015,COVID-19,contribution,0.0
2015,Childhood (under-five),contribution,0.0857207539040675
2015,Alcohol,contribution,0.08833865694864719
2015,Drug Disorders,contribution,0.32468991376178513
2015,Predicted Total,total,4.833697010042663
2015,Actual Total,total,4.810900000000004
2016,Cancer,contribution,0.20349906794676742
2016,Homicide,contribution,0.22886455100976585
2016,Suicide,contribution,0.48357993253922327
2016,Road Traffic,contribution,0.6991138384003811
2016,Liver Disease,contribution,0.22835801457281474
2016,Injury,contribution,0.04666223338125527
2016,COVID-19,contribution,0.0
2016,Childhood (under-five),contribution,0.08664776060823398
2016,Alcohol,contribution,0.0968926535186956
2016,Drug Disorders,contribution,0.3915689204484703
2016,Predicted Total,total,4.973257610499462
2016,Actual Total,total,4.958500000000001
2017,Cancer,contribution,0.20151313810650595
2017,Homicide,contribution,0.2294885410809135
2017,Suicide,contribution,0.5081204518086494
2017,Road Traffic,contribution,0.6969424200685835
2017,Liver Disease,contribution,0.2205169587426215
2017,Injury,contribution,0.04748854087399779
2017,COVID-19,contribution,0.0
2017,Childhood (under-five),contribution,0.08921640448607523
2017,Alcohol,contribution,0.1013151490463145
2017,Drug Disorders,contribution,0.43977433696701806
2017,Predicted Total,total,4.99131626260513
2017,Actual Total,total,4.997900000000001
2018,Cancer,contribution,0.20339321491496662
2018,Homicide,contribution,0.21457425561788596
2018,Suicide,contribution,0.5049849601553212
2018,Road Traffic,contribution,0.6596638635143702
2018,Liver Disease,contribution,0.21733731353106
2018,Injury,contribution,0.04726158335149379
2018,COVID-19,contribution,0.0
2018,Childhood (under-five),contribution,0.09036160557724932
2018,Alcohol,contribution,0.10273575570959867
2018,Drug Disorders,contribution,0.46734069255929434
2018,Predicted Total,total,4.927167128665909
2018,Actual Total,total,5.012200000000007
2019,Cancer,contribution,0.21497213112631422
2019,Homicide,contribution,0.22773595727771148
2019,Suicide,contribution,0.5024716281733081
2019,Road Traffic,contribution,0.6750431684807522
2019,Liver Disease,contribution,0.21744580178210765
2019,Injury,contribution,0.052416031327749336
2019,COVID-19,contribution,0.0
2019,Childhood (under-five),contribution,0.08429085123486334
2019,Alcohol,contribution,0.11116011608673991
2019,Drug Disorders,contribution,0.5239491263219541
2019,Predicted Total,total,5.016932185379843
2019,Actual Total,total,5.0146000000000015
2020,Cancer,contribution,0.2148081071104037
2020,Homicide,contribution,0.2907373973599008
2020,Suicide,contribution,0.5372691900378054
2020,Road Traffic,contribution,0.7852357100590831
2020,Liver Disease,contribution,0.22635379276761364
2020,Injury,contribution,0.056710402527029906
2020,COVID-19,contribution,0.21822011098529714
2020,Childhood (under-five),contribution,0.07590900319982073
2020,Alcohol,contribution,0.13817272772374137
2020,Drug Disorders,contribution,0.6377253330052131
2020,Predicted Total,total,5.593577484684775
2020,Actual Total,total,5.534999999999997
2021,Cancer,contribution,0.21644391804639646
2021,Homicide,contribution,0.3100327444125621
2021,Suicide,contribution,0.5525096628637324
2021,Road Traffic,contribution,0.839954975343333
2021,Liver Disease,contribution,0.2319885417993964
2021,Injury,contribution,0.06181046300227243
2021,COVID-19,contribution,0.4272900195840641
2021,Childhood (under-five),contribution,0.06377029251904363
2021,Alcohol,contribution,0.1528790083324151
2021,Drug Disorders,contribution,0.7370918314764011
2021,Predicted Total,total,5.958622477040301
2021,Actual Total,total,5.74499999999999
2022,Cancer,contribution,0.2052251119473513
2022,Homicide,contribution,0.29428766985542143
2022,Suicide,contribution,0.5516432843061837
2022,Road Traffic,contribution,0.834129879766986
2022,Liver Disease,contribution,0.22233080378705175
2022,Injury,contribution,0.0579037449337911
2022,COVID-19,contribution,0.15610420906329292
2022,Childhood (under-five),contribution,0.07872085926854112
2022,Alcohol,contribution,0.15289532963758418
2022,Drug Disorders,contribution,0.7816809479908225
2022,Predicted Total,total,5.65287787121619
2022,Actual Total,total,5.460700000000003
2023,Cancer,contribution,0.19659864674673588
2023,Homicide,contribution,0.2764244741882585
2023,Suicide,contribution,0.5200798790220631
2023,Road Traffic,contribution,0.8058728364989293
2023,Liver Disease,contribution,0.2175650022200141
2023,Injury,contribution,0.0588682494328752
2023,COVID-19,contribution,0.0136345033241726
2023,Childhood (under-five),contribution,0.07896367369919156
2023,Alcohol,contribution,0.14943640810814315
2023,Drug Disorders,contribution,0.7724275536695115
2023,Predicted Total,total,5.369790880058072
2023,Actual Total,total,4.984800000000007
